Exec Time,Qty,Symbol,Type,Net Price,Net Position
2021-03-09 07:07:06,25,XELA,STOCK,3.97,99.25
2021-03-09 07:06:00,5,XELA,STOCK,3.89,19.45
2021-03-09 07:05:20,-25,XELA,STOCK,3.84,-96.0
2021-03-09 07:05:11,-25,XELA,STOCK,3.76,-94.0
2021-03-09 07:04:59,25,XELA,STOCK,3.718,92.95
2021-03-09 07:04:50,25,XELA,STOCK,3.7188,92.97
2021-03-09 07:00:33,-5,XELA,STOCK,3.682,-18.41
2021-03-09 07:00:10,-15,XELA,STOCK,3.832,-57.48
2021-03-09 06:59:52,15,XELA,STOCK,3.75,56.25
2021-03-09 06:57:55,5,XELA,STOCK,3.71,18.55
2021-03-09 06:56:38,-5,XELA,STOCK,3.462,-17.310000000000002
2021-03-09 06:56:04,5,XELA,STOCK,3.48,17.4
2021-03-09 06:55:01,-10,XELA,STOCK,3.31,-33.1
2021-03-09 06:54:36,10,XELA,STOCK,3.34,33.4
2021-03-09 06:53:04,-5,XELA,STOCK,3.292,-16.46
2021-03-09 06:52:09,5,XELA,STOCK,3.37,16.85
2021-03-09 06:51:39,-5,XELA,STOCK,3.28,-16.4
2021-03-09 06:51:22,4,XELA,STOCK,3.34,13.36
2021-03-09 06:51:22,1,XELA,STOCK,3.34,3.34
2021-03-09 06:49:06,-25,XELA,STOCK,3.312,-82.8
2021-03-09 06:48:57,25,XELA,STOCK,3.19,79.75
2021-03-09 06:45:57,-5,XELA,STOCK,3.082,-15.41
2021-03-09 06:45:31,5,XELA,STOCK,2.99,14.950000000000001
2021-03-09 06:44:48,-10,XELA,STOCK,2.972,-29.72
2021-03-09 06:43:50,-50,XELA,STOCK,2.89,-144.5
2021-03-09 06:43:29,50,XELA,STOCK,2.75,137.5
2021-03-09 06:43:01,10,XELA,STOCK,2.639,26.389999999999997
2021-03-09 06:41:20,-25,XELA,STOCK,2.6912,-67.28
2021-03-09 06:40:35,25,XELA,STOCK,2.7896,69.74000000000001
2021-03-09 06:35:31,-1,OGEN,STOCK,1.34,-1.34
2021-03-09 06:35:27,1,OGEN,STOCK,1.34,1.34
2021-03-09 06:35:21,-1,OGEN,STOCK,1.34,-1.34
2021-03-09 06:35:18,1,OGEN,STOCK,1.33,1.33
2021-03-08 07:03:51,-1,EYES,STOCK,11.65,-11.65
2021-03-08 07:02:49,1,EYES,STOCK,12.65,12.65
2021-03-08 07:00:26,-25,OPGN,STOCK,2.7712,-69.28
2021-03-08 07:00:07,25,OPGN,STOCK,2.7972,69.93
2021-03-08 06:50:48,-1,EYES,STOCK,13.35,-13.35
2021-03-08 06:49:46,1,EYES,STOCK,12.58,12.58
2021-03-08 06:44:57,-25,EYES,STOCK,10.84,-271.0
2021-03-08 06:43:50,-15,OPGN,STOCK,2.75133,-41.269949999999994
2021-03-08 06:43:41,-25,OPGN,STOCK,2.88,-72.0
